userName,score,at,content
Sinar Mamuju,1,2026-05-07 14:16:44,dana cicil tidak bisa di pake padahal udah bayar tagihan
Ubbe Sierasta,5,2026-05-07 14:15:02,good
I-one rahmat,4,2026-05-07 14:11:41,bagus
Robet Robet,2,2026-05-07 14:09:12,daptar belum bisa update
Mr Koran,5,2026-05-07 14:08:35,knp PAYLATTER saya tidak bisa
David Vitaks,5,2026-05-07 14:07:54,aktifkan dana cicil saya
Gusti Awan,4,2026-05-07 14:07:31,oke membantu
Maju serasi Situmorang,5,2026-05-07 14:07:17,good
Yupi Nurlaeni,5,2026-05-07 14:06:27,good job
Only U,5,2026-05-07 14:02:35,tolong di upgratd buat limit penerimaan uang terlalu sedikit...
Surya Yadi,5,2026-05-07 14:00:30,Ok
Roiz Oiz,5,2026-05-07 14:00:09,mantab
Ersa Mayora,2,2026-05-07 13:56:11,"saya mau komplain tentang masalah penarikan di dana golls , sebegitu sulit buat menarik uang sendiri verifikasi wajah sudah di lakukan tapi masih tetap gagal mohon tanggapi komentar saya"
Charly Manurung,5,2026-05-07 13:55:42,dana makin the best.
mas faruk,5,2026-05-07 13:53:13,dana sangat berguna
Iyang Komalasari,1,2026-05-07 13:53:09,"sanggat kecewa atas dana saya udah lamaa pakai dan transaksi udah banyak, setiap kali daftar dana cicil gak pernah di-ACC Saya mau berhenti pakai dana klau buat kecewa terus,,,,,"
Kahfiyudin Amri,5,2026-05-07 13:52:07,perbaiki fitur pesan masuk supaya bisa dihapus.terima kasih
fpran ardianto,5,2026-05-07 13:48:33,bagaimana cara mengaktifkan beli emas dan dana cicil
Riman Pramuja,5,2026-05-07 13:45:45,sangat bermanfaat sekali
Fauzan,5,2026-05-07 13:45:03,sangat mmbantu
Ilyas,5,2026-05-07 13:42:56,baik
nabila a,5,2026-05-07 13:41:24,mudah mentranver uang
rizky ryga,1,2026-05-07 13:35:25,"ga bisa verivikasi wajah, aplikasi jelek ga guna"
Ibrahim Hasibuan,2,2026-05-07 13:34:55,"gue kecewa dana cicilan aku gak muncul, padahal aku dha lama pake dana"
Arbani Hanifa,1,2026-05-07 13:33:47,"aplikasi nya jelek ,, pusat bantuanya gk guna,, costumer servisnya sulit di hubungi..erorr teruss..."
Ibnu Tafsir,5,2026-05-07 13:33:17,mantap
Budiani Ani,5,2026-05-07 13:28:45,sangat bgus dan aman
karis,1,2026-05-07 13:25:31,ikuti aja bos alur ya uang saya mereka mkn sudah banyak biar kan orang itu kurang banyak mkn uang kekalahan saya bkal saya tuntut
Vivo Y15s,3,2026-05-07 13:23:11,"cuman punya ku aneh gak ada fitur ""DANACicil""nya.!!"
Titan Wahyu Juliansyah,5,2026-05-07 13:18:37,sangat baik
Syahruradi,1,2026-05-07 13:18:08,"setelah update ini sedikit mengecewakan, sudah scan e-ktp sudah scan wajah masih saja gagal pindah ke DANA premium."
Sean Emmanuel,5,2026-05-07 13:17:37,Good 👍
sugiarto blondo,5,2026-05-07 13:17:26,baguss
Hari Minggu,5,2026-05-07 13:15:38,Masha Alloh transaksi pake dana sangat mudah
Kiki Wijaya,2,2026-05-07 13:12:51,kalo dipake qris keluar apk mulu
Tatang Bustomi,5,2026-05-07 13:11:03,bagus
Bag us,3,2026-05-07 13:10:35,"tolong diperbaiki lagi sistem dana,, mengapa saat saya ingin menarik saldo yang ada di qris selalu gagal sampe"" saya buat laporan berkali kali tetep sama aja saldo gabisa ditarik ini bagaimana coba saya sungguh kecewa dengan aplikasi dana"
Ramdan Saputra,5,2026-05-07 13:06:50,lebih mudah bertransaksi.. good .
beny setyadi,5,2026-05-07 13:05:04,Mantap
syya bau,5,2026-05-07 13:04:33,better
Rifai Rifai,2,2026-05-07 13:01:43,sangat bakk
firman Jaelani,5,2026-05-07 13:01:10,mantap
Mz Benu,5,2026-05-07 12:59:27,"sangat"" bagus"
witarya bozx,1,2026-05-07 12:58:52,kok akun saya ga ada fitur dana cicil atau dana instant
Athiam Yefry,5,2026-05-07 12:58:02,"permohonan fitur dana cicil dan dana instan, di menu tidak ada"
Novaldi Valdi,5,2026-05-07 12:56:36,sangat bagus
Edi Saputra,1,2026-05-07 12:55:35,saldo di potong langsung tanpa owner tau
Pendowo Limo,4,2026-05-07 12:55:18,bagus
Ulil Azmi,5,2026-05-07 12:53:59,bagus
Black Odi,2,2026-05-07 12:53:17,saya tidak bisa melakukan transaksi dan transfer uang pakai aplikasi ini... sangat tidak recomended apk ini
abdul hasim jaelani hasim,5,2026-05-07 12:51:43,kaga perlu repot lagi
ROHMAN Mubarok,5,2026-05-07 12:50:18,bagus banget
Zhiber Busi,5,2026-05-07 12:48:44,knpa sekarang mau masukin alamat dana susah bngt
Didin Saripudin,5,2026-05-07 12:48:38,Ajiiiiib pokona mah
Novi Arumaningsih,5,2026-05-07 12:47:18,bagus walaupun sering eror
Rince Rano,5,2026-05-07 12:46:42,saya terus berjuang untuk mendapatkan apa yg saya harapkan 💞
Arkhan Gomez,5,2026-05-07 12:45:26,mantap
Edy Handoyono,1,2026-05-07 12:44:05,ini kenapa saya login kok muter muter terus. bisa tolong di bantu
Marsini Ninie,1,2026-05-07 12:43:54,saldo yang di transfer oleh pihak ovo tidak masuk ke dana bisnis
Mukhammad Arifin,5,2026-05-07 12:40:20,baik sekali
Abi Mayu,5,2026-05-07 12:34:01,mantap
Linda Purnamasari,5,2026-05-07 12:33:53,sejauh ini saya mengunakan dana untuk teransaksi sangan aman dan bagus
Tarsono Aja,5,2026-05-07 12:30:02,pln mobil semakin jaya
Andika Maulana,4,2026-05-07 12:29:31,keren aplikasi dan aman untuk simpan uang di dana
Rayya putri,1,2026-05-07 12:25:04,dana cicil tidak bisa di gunakan.
John D,5,2026-05-07 12:24:07,bagus sekali
Muhammad farell Farell,1,2026-05-07 12:20:57,kak kok di apk dana saya ngk keluar play later nya kak
HABIB ISMAIL,4,2026-05-07 12:19:41,udah bagus saran aja tambahin fitur beli tiket kereta 🙏
Akbar Junaedi,5,2026-05-07 12:19:24,sangat mempermudah transaksi
Harapan Jaya,5,2026-05-07 12:18:25,"sangat membantu,bagus."
Dede Afnan,5,2026-05-07 12:18:11,ok pisan euy..
Kila Bilqis,3,2026-05-07 12:18:08,"akun dana ini sedang ada masalah apa ya,, kok dana cicil bisa di gunakan sedangkan dana instan kaga bisa di gunakan selalu gagal,, tolong dong di perbaiki dengan benar,,"
Juna Lubis,5,2026-05-07 12:17:14,good
Mas N,5,2026-05-07 12:14:02,ihh makasih ya atas aplikasi nya aku kan mau download minecraft bangun kotamu terus kan bayar 19 rb jadinya bisa deh karena bantuan ini Terima kasih ya 👍🙏
Pakde Birin,5,2026-05-07 12:13:41,aktivin dana cicil
bayi bajang,1,2026-05-07 12:10:41,verifikasi akun
Adman Cell,5,2026-05-07 12:09:00,bagus
Dody Tbh,1,2026-05-07 12:07:44,sy mengajukan penghapusan akun premium..di suruh menuggu beberapa hari Lg...
Muh Henri,5,2026-05-07 12:07:19,ok
Anggraeny Puspita,4,2026-05-07 12:06:06,sangat bagus sayang admin nya besar
BTJ Btj,5,2026-05-07 12:06:05,SGT membantu
Itaa 09,5,2026-05-07 12:03:32,💖
Hiro Reptile,2,2026-05-07 12:03:28,"apakah pernah ada yang mengalami tiba"" akun dana kita ada transaksi yang tidak di kenal dan saldo kota habis. tanpa kita tahu dan sedangkan kita tidak merasa bertransaksi"
Fina Yanti,5,2026-05-07 11:58:21,sangat baik
Tumiran Tomi,5,2026-05-07 11:58:08,mantap
Bagong Peliharaan,1,2026-05-07 11:57:50,apk nya TDK jls saya tidak merasa tersaper eh malah ternsper sendiri udh MH no tujuan GK di kenal saldo habis mau apk dana sudah tidak aman lagi kocak
RINI SRI PUJI RAHAYU RAHAYU,5,2026-05-07 11:57:03,bagus
Wardi Mawardi,4,2026-05-07 11:54:59,bagus
Prongos Prongos,5,2026-05-07 11:54:44,aplikasi sangat membantu
Kim Tasya,1,2026-05-07 11:50:51,"status transaksi success, tapi saldo tidak bertambah"
Ammank R7,5,2026-05-07 11:45:21,👍👍👍👍
Fazia adreena Adreena,5,2026-05-07 11:44:46,mudah buat transaksi
Suroso cs,5,2026-05-07 11:44:10,ok
Dadan sudana,5,2026-05-07 11:41:30,tolong aktifkan dana cicil saya
Syahirna Ningsih,5,2026-05-07 11:40:47,kenapa yaa aku ga bisa masuk ke dana sekalinya mau berhasil eh malah keluar aduh bingung banget niee kenapa yaa kira kira Kasus aku apa yaa?
Adi keno,5,2026-05-07 11:39:05,bagus
Helda Frisca,3,2026-05-07 11:38:38,udah upgrade ke premium buat transfer to bank gak bisa² aneh bgt
Faruk Faruk ahmad,5,2026-05-07 11:37:02,sangat membantu mantap
Martinus Dolu Radja,5,2026-05-07 11:35:47,Good Apl
Bejosc Bejo,1,2026-05-07 11:30:36,bagus
Jauharry Juniors,1,2026-05-07 11:29:40,ini kenapa pembayaran saya gagal sedang kan saldo saya mencukupi
Herman,5,2026-05-07 11:27:51,sangat puas
Ambo Charles,5,2026-05-07 11:24:25,sangat menbantu masyarakat indonesia
Kani Asih,5,2026-05-07 11:23:11,bagus
tony 123,5,2026-05-07 11:23:04,saya sangat suka trimakasih🙏
Aris Jainurali,5,2026-05-07 11:22:45,Dana cicil tidak ada di apk dana saya
Moh Junaidi,5,2026-05-07 11:22:00,mohon kembalika uang saya yang tiba tiba hilang
Nur Qomariyah,5,2026-05-07 11:18:12,sangat bermanfaat
yarestacder cder,4,2026-05-07 11:17:27,Sangat membantu
Wahyu Nandito,5,2026-05-07 11:15:11,"Terimakasih banyak DANA, dulu aku tidak bisa login, Dan tidak ada fitur pemindahan akun, Sekarang ada Semoga 2 hari kedepan akunku dapat pulih kembali☺"
Syahrial Anwar Anwar,4,2026-05-07 11:14:18,Bantu menutup akun dana saya ats nama maring yakub
Sahlan Tempongbuka,5,2026-05-07 11:14:00,sangat bagus
Herman Syah,5,2026-05-07 11:13:35,sangat menbatu ini apk apa lagi sekarang ada dana cicil memudah kan sya dan keluarga
Rahmat Slamat,5,2026-05-07 11:13:16,semuanya ok v disaat paylater telat .bisa di gunakan nya lagi ter lalu lama
Khairuddinsyah khair,5,2026-05-07 11:12:35,pelayanan cepat mempermudah pemakai
didin mahfudin,5,2026-05-07 11:11:02,"mantap,mudah dan cepat"
Tegarjaya Abadi,4,2026-05-07 11:10:03,bagus
Albani Ramadhan,5,2026-05-07 11:09:23,sangattt amannnn
Harpen Ladita,5,2026-05-07 11:07:23,sangat membantu
yulia marlina ina,5,2026-05-07 11:07:13,biar bintang yang berbicara
Rini Anggriani,1,2026-05-07 11:05:16,sudah verifikasi pakai sandi dan wajah Masih tetap tidak masuk. Haris minta kode otp trusss sedangkan kartu saya sudah hilang. terakhir ribet berbeda dengan dompet digital yang lain. yang penting sudah pakai verifikasi wajah langsung bisa masuk
Fitry Andany,1,2026-05-07 11:02:58,"gimana ini saya sudah melakukan pembayaran dana cicil tapi tidak bisa melakukan transaksi lagi , terus tiba-tiba saja uang saya hilang tanpa saya melakukan transaksi"
Inda Marlendy,5,2026-05-07 11:02:50,Terbaik
bambang sumardi,1,2026-05-07 11:02:33,kurang
Adoy 99,5,2026-05-07 11:00:23,mantullll
Bambang Simpang,5,2026-05-07 10:59:08,goow
Krucil Baguss,1,2026-05-07 10:58:20,gua gak dikasih solusi padahal abis di tipu
Silvia,1,2026-05-07 10:58:06,"pembelian kuota sudah dibayar,saldo dana pun sudah berkurang, eh malah masuk ketagihan dana cicil, tagihan jadi bertambah, aneh banget cara nyari keuntungan nya, udah bayar malah d hitung jadi utang, bukan masalah nominalnya yg receh tapi tolong dong amanah"
Riyani Wahyu,4,2026-05-07 10:55:20,didana ku tidak bisa keluar dana instan padahal udah pindah ke dana premium
Eka Makhsyur,5,2026-05-07 10:54:32,terpercaya
Romi Alfares,5,2026-05-07 10:53:06,bgus plyanan nya
Rizki Ridho,5,2026-05-07 10:51:11,Sangat mudah digunakan di
Enday Enday,5,2026-05-07 10:50:11,memuaskan
Dang Petra,5,2026-05-07 10:46:25,sangat bagus dan memuaskan
Adnin Ashabi,5,2026-05-07 10:46:23,keren
Teh yayah purnomo,5,2026-05-07 10:45:47,alhamdullah. dana sangat amanah. dan semoga selanya aman dan amanah
paisal,5,2026-05-07 10:45:33,bagus
Ardiansyah fitri,5,2026-05-07 10:45:29,sangat bagus
Titik Widiyanti,1,2026-05-07 10:43:22,aplikasi yang sangat buruk saya top up 45 kirim ke gopay masuk nya 44 padahl udh kena potong dari dana
Daniel Satya Pradita,1,2026-05-07 10:43:02,apk lag bgt sinyal udh bagus hp juga oke buat tf aja ribet udh di upgrade ke premium masih aja ga bisa suruh upgrade mulu padahal udh di upgrade. BENERIN
rahmadanalfarizi madan,1,2026-05-07 10:39:11,dana sangat nggk amanah uang di dana di tarik aplikasi pdhl butuh bngt setiap abis di tf ortu blm sempet aku tarik sdh hilang saldo nya di tarik aplikasi bdoh bngt ini aplikasi ngerugiin orang bngt pdhl uang itu untuk makan malah di ambil aplikasi pokoknya dana ini nggak bagus buat di download sangat nggk amanah
Mbois 213,1,2026-05-07 10:39:09,"fitur reksa dana ga jelas,, saya mau tarik saldo nya perlu verifikasih wajah pas udah verifikasih minta di ulang terus"
Rhk,5,2026-05-07 10:36:48,ini sangat membantu top up
yoyok irawan,5,2026-05-07 10:34:30,ok
Sarkiman OJOL,4,2026-05-07 10:33:29,Alhamdulillah. 👍👍
Muhamad Agus,4,2026-05-07 10:29:12,mempermudah
manalu aurel,1,2026-05-07 10:28:51,lelet bangettt jaringan aku aja bagus dibilang tidak ada koneksi udah selama 2 Minggu gimana si server nya saya mau cepat' TF nya malah di persusah
Neng Noni,3,2026-05-07 10:20:50,"kenapa Dana ku ga bisa dibuka, uang masuk pun ga ada padahal sudah terkirim gimana ini tolong dibantu"
mauwal zakiez,5,2026-05-07 10:18:57,thank you
Sumarni Oppo,5,2026-05-07 10:17:20,keren banget
Muhammad Ghibran,5,2026-05-07 10:16:19,bagus
Mz Ludin,1,2026-05-07 10:16:19,APK sampah dacil udah di lunasin ga bisa di pake lagi💩💩💩💩😡😡😡
Edi Susanto,5,2026-05-07 10:14:55,coba Dana cicil
YOAN PRAYOGA,1,2026-05-07 10:08:36,eror
Finandi Handoyo,5,2026-05-07 10:05:32,sangat terbantu dengan aplikasi Dana
Nandang Kurnaedi Apensi,5,2026-05-07 10:04:32,mempermudah akses
Bro,5,2026-05-07 10:03:20,good
Caca Quilla,5,2026-05-07 10:02:56,"sangat membantu saya sekali, terimakasih"
DEWI NURMAYASARI,5,2026-05-07 10:01:17,sangat bagus dan membantu
Hidayat 048,5,2026-05-07 09:58:03,sangat amat bagus
Arfiandi Agus,5,2026-05-07 09:51:41,terimakasih dana mengatasi masalah
Lukfi Hidayat,5,2026-05-07 09:48:01,bagus
Bang Gunadi,5,2026-05-07 09:47:19,sangat membantu dan mempermudah urusan.
Fathan Khoiril,5,2026-05-07 09:44:32,"kenapa dana cicil saya gak bisa di gunakan padahal sudah melakukan pelunasan, dan kenapa dana instan di apk dana saya gak keluar"
Farid,5,2026-05-07 09:44:25,mempermudah segala hal
kika tata,5,2026-05-07 09:43:42,the best..👍
Wahyuddin Wahyu Jannah,5,2026-05-07 09:40:36,oke mantap
Agus amran Simamora,5,2026-05-07 09:39:41,menu dana cicil tidak ada..
Dewi Siska,1,2026-05-07 09:39:11,balikin duit gw 980rb sialan
Raffi Kasse,4,2026-05-07 09:36:30,Bagus 👍
Sri Lastri,5,2026-05-07 09:35:59,"Sejauh ini aplikasi nya bagus, pertahankan."
Gebyok Kudusan,5,2026-05-07 09:34:28,membantu mempermudah bertransaksi
IRWANTO Anto,5,2026-05-07 09:33:44,mengapa dana saya tidak bisa di buka
Fatihnashrullah,5,2026-05-07 09:27:09,Bagus apk nya
Elis uding Eli,5,2026-05-07 09:26:22,sangat lancar
Eto Bio,5,2026-05-07 09:25:48,mantap dana ini
doan monggo,5,2026-05-07 09:25:35,eka
Yanyaan Johanis frengky,5,2026-05-07 09:21:41,terimakasih buat sebanyak-banyaknya
Irwan Bardiansyah,5,2026-05-07 09:19:44,cepat dan tepat. pokoknya mantap dan top.
felicity maulatifa,5,2026-05-07 09:16:50,"Kenapa claim daily reward nya kadang ngulang dari awal? padahal udah check-in rutin, kadang juga berubah-ubah buat dapet koinnya, besok mau dapet koin langsung diubah letak koinnya atau ga ya balik ke awal lagi"
Ujang Deris Saputra,5,2026-05-07 09:16:22,aplikasi sangat berguna
Muhammad Ridwan,5,2026-05-07 09:14:17,Oky
Thuan Dzuu,5,2026-05-07 09:07:57,sangat membantu dan sangat mudah di gunakan
Saharudin Simanjuntak,5,2026-05-07 09:06:59,kenapa dana premium ku tidak bisa di aktifkan
Ariep Suwito,4,2026-05-07 09:05:38,"Aplikasi DANA Menjangkau Ke Pelosok Pedesaan, Memudahkan Pengguna Untuk Bertransaksi Diberbagai Model Pembayaran"
Hanafi damila,5,2026-05-07 08:58:34,sangat membantu dan bermanfaat.
fakhira sakhila,1,2026-05-07 08:57:12,"dana sekarang ga kaya dulu,kemarin saya tidak melakukan transaksi sama sekali tiba tiba uang saya kesedot 532.800"
Romy KaFareL,5,2026-05-07 08:54:52,nice
Jabrik Bujanginam,5,2026-05-07 08:54:50,sangat bagus dn puas bnget pakai Dana ini..
Nurhaeni a,1,2026-05-07 08:52:55,"bertahun² karna hilang hp, baru inget lagi nomor yang terdaftar akun dana dan bisa masuk,tidak ada saldonya. stelah saya isi saldo,dan mengganti nomor yang aktif, akun saya keluar dan tidak bisa masuk lagi, verifikasi slalu gagal,,, hallo pas GK ada saldo bisa,kenapa sekarang ada saldonya malah gak bisa masuk, pengaduan lewat,Diana dana, customer care, email,akun Ig dana,,GK ada respon samasekali."
Asep Dudi,5,2026-05-07 08:49:00,transaksi aman dan cepat
Feri Zulkarnaen,1,2026-05-07 08:48:46,ribet
Dian Almahri,4,2026-05-07 08:46:57,berjalan baik cuman sayang dana cicilnya gk ada gk muncul muncul... tolong di munculin dana cicilnyaa di aplikasi saya
Arka Cell,1,2026-05-07 08:44:30,ko nama dana saya ga muncul notifikasi ya juga ga muncull mohon min pembaruan nya
Amma Megami,5,2026-05-07 08:44:21,aplikasi terbaik
Irvan Putra,2,2026-05-07 08:44:14,tidak memuaskan .saya tidak bisa login
Rina Andrianata,5,2026-05-07 08:39:37,sangat membantu
Sopiah Azizahsalma,2,2026-05-07 08:37:07,"jaringan full,tapi gak bisa digunakan, ,sangat kecewa"
Serverkombinasi,5,2026-05-07 08:36:49,ini kenapa susah login sama top up dana GK masuk baru skrng jadi eror gini
Mira Melaini,5,2026-05-07 08:35:24,sangat baik
Eka Yanti,5,2026-05-07 08:33:01,pokoknya dana terbaik ✨
Inez Cell,1,2026-05-07 08:29:51,tidak dapat melihat aktivitas
Furqon Aja,4,2026-05-07 08:29:04,sunggu nyaman di aprikasi ini saya nya saya GK ad kmunculan dana cicil nya
Reza Renaldi,1,2026-05-07 08:28:53,transaksi Tampa pemberitahuan terlebih dahulu dengan ini saya kesal karna pembelian lansung berhasil tapa memberi tau saya Terlebih dahulu 🙏
Donigb Gb,5,2026-05-07 08:27:58,bagus
jim-jong spot,4,2026-05-07 08:27:33,"untuk DANA INSTAN nya terlalu ribet,, sulit diverifikasi saat penarikan,, limite sedikit tp sulit nya kaya minjem uang puluhan juta"
Dhidyn Supriadin,5,2026-05-07 08:26:04,knpa dana paylater sy ngk muncul muncul padhl udah lama sy pake apk ini
Nur Yanti,4,2026-05-07 08:24:13,sangat 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍Baik
Maryam Fatimah,5,2026-05-07 08:21:28,"terimakasih DANA sudah memudahkan sy melakukan transaksi pembayaran dan pembelian tp yg bikin malas sekarang kalau mau top up di alfamart kenapa selalu di kenakan admin 1500 per 500k nya tolong dong kalaupun harus ada adminnya mbok ya jgn setiap top up sdhlah kita di batasi top up, adminnya pun memberatkan maaf sy kurangi dulu bintang nya yaa"
Nadi Iren,3,2026-05-07 08:20:44,loading untuk payment seringnya lemot.
Ahmad Afifudin,1,2026-05-07 08:18:54,"dana keluar masuk sudah banyak tapi masih belom bisa pakai dana cicil ,, PAYAH , , saya tidak memiliki tagihan apapun"
Aisar Ji,4,2026-05-07 08:14:28,Mantap nieh aplikasi
Herry Channel,5,2026-05-07 08:09:41,cepat
Indah Yuli,5,2026-05-07 08:09:12,puas sekali
Brewok Yyy,1,2026-05-07 08:08:55,agak kurang karena tidak bisa di mod
akang mayor,5,2026-05-07 08:06:53,dana cicil aku koq udakh gak bisa di gunakan yahh? kenapa yahh? padahal gak ada tagihan tertunggak? hampir 1 THN loh
Elgionovri Ganteng,5,2026-05-07 08:05:58,good
Cubluk One,5,2026-05-07 08:03:01,ok sih buat transaksi pengiriman
pendra hadi,5,2026-05-07 07:56:39,kendalah cuman notif dana cicil belum ada ktanya sering transaksi nunggu 30 hari TPI udh berbulan bulan transaksi hampir tiap hari ya walupun kecil kecil TPI jalan trus mohon lh min di percepat
Hilman Subehi,1,2026-05-07 07:53:56,"lawak aplikasi nyaa tiba"" saldo ilang"
Alpino Roshan473,5,2026-05-07 07:51:03,Mantap
Mursid,5,2026-05-07 07:50:49,bagus
y y,1,2026-05-07 07:50:27,bayar tagihan tidak telat malah sebelum jatuh tempo TAPI DANA CICIL TIDAK BISA DIGUNAKAN .. BIKIN KESEL TAU GITU GAK USAH DIBAYAR SEKALIAN
Akhsan Arrafff,5,2026-05-07 07:43:21,👍👍👍👍👍
Siti-munarsih,1,2026-05-07 07:41:58,apk dana sangat jelek karena saldo kesodot sendiri tanpa sepengetahuan admin dana kaya kontoll
Dede Nuryahya,5,2026-05-07 07:40:17,Aman dan mudah
Hariono Rono,5,2026-05-07 07:37:35,sangat membantu
faozan faozan,5,2026-05-07 07:36:05,bagus
Muhammad Alfiansyah,5,2026-05-07 07:29:40,tolong kembalikan saldo dana saya yang telah tertipu
Sahroni Tbh,5,2026-05-07 07:29:16,cukup baik
Roni junifer Simanjuntak,5,2026-05-07 07:28:48,sesuai
Sri Wahyuni,5,2026-05-07 07:24:08,bagus sekali
Adih Suharyadi,5,2026-05-07 07:22:19,bagus dana
bjrs jabar,5,2026-05-07 07:18:48,ok
Rakes mura,5,2026-05-07 07:16:59,sangt bagus dan puas menggunakan aplikasi DANA
Ayu Nining,5,2026-05-07 07:15:30,bagus
Adi,5,2026-05-07 07:11:55,sangat bagus
Jayadi Yadi,5,2026-05-07 07:09:25,saya bisa berbisnis di sini
rafli ardianto,5,2026-05-07 07:07:21,tolong aktifkan fitur dana instan
Jona Clau,5,2026-05-07 07:05:03,luar biasa bagus
Arif Latungki,5,2026-05-07 07:00:17,puas
Aqila Dari adisya,5,2026-05-07 06:54:13,sangat bagus aplikasinya sangat membantu untuk bertransaksi
Gaspoll Saetik,1,2026-05-07 06:50:37,sempurna
Umah Alya,5,2026-05-07 06:50:34,tingkatkan keamanan dan jaminan nasabah
Maya Loundry,5,2026-05-07 06:49:12,sangat memudahkan untuk transaksi
Oncu Lusia,5,2026-05-07 06:48:16,sangat memuaskan
Hariyanto Hariyanto,5,2026-05-07 06:47:22,sangat bermanfaat untuk menyimpan
Rohman Roi,5,2026-05-07 06:44:21,bagus
Raka Wijaya,2,2026-05-07 06:41:32,gak masuk APK 2 Minggu pas mau masuk apk lagi kok gak bisa aneh bgt DANA
Anora Qalesya,5,2026-05-07 06:26:16,bagus
Ramdan Aja,5,2026-05-07 06:24:27,ko apk nya di hp saya dana terhenti terus yah knp itu.
Andri 91,5,2026-05-07 06:23:32,ok pokonya
Hendra Sanjaya,5,2026-05-07 06:17:33,bgus
